Modelo,MSE ↓,MAE ↓,R² ↑
LinearRegression,0.0644,0.1946,0.6676
Tree_depth5,0.1119,0.177,0.4219
Tree_depth10,0.1256,0.1726,0.3511
RandomForest,0.0608,0.1435,0.6859
